undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,cname
0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,Lesotho
0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852,Bahamas
0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.541683197021484,Antigua and Barbuda
0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756,France (1963-)
0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576,Mozambique
0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563,Botswana
0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832,"Korea, South"
0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,Benin
0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727,Algeria
0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662,St Lucia
0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301,Burkina Faso
0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717,Chile
,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Nauru
0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438,Nepal
0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377,Togo
0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.900000095367432,,33.200001,6.379294395446777,Estonia
0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578,Brazil
0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949,Saudi Arabia
0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383,Libya
